"ID","MONTH","MARKET","CLIENT_ID","FIRST_ITER_SCS_CNT","FIRST_ITER_FAIL_CNT","NEXT_ITER_SCS_CNT","NEXT_ITER_FAIL_CNT","OVERALL_SCS_CNT","OVERALL_FAIL_CNT","SCS_PERCENT","IS_ACTIVE","CREAT_DT","CREAT_USER_ID","LAST_UPDT_DT","LAST_UPDT_USER_ID"
2461,"01-2026",SC,"3",17202,312,19740,312,19740,312,98.44,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.539,SYSTEM
2462,"01-2026",TN,"3",1465208,52768,1507146,61663,1530010,68853,95.69,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.551,SYSTEM
2459,"01-2026",NY,"3",19774869,458984,20462115,462011,20467887,463440,97.78,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.510,SYSTEM
2458,"01-2026",NV,"3",589497,9556,628838,10791,628838,10791,98.31,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.497,SYSTEM
2457,"01-2026",NJ,"3",236499,8290,239698,8504,240503,8728,96.49,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.483,SYSTEM
2456,"01-2026",NH,"3",291667,14258,325114,14379,325114,14379,95.76,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.470,SYSTEM
2455,"01-2026",MO,"3",10516610,112005,12473240,152617,13444801,181741,98.66,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.444,SYSTEM
2454,"01-2026",ME,"3",217353,11158,228701,12995,228701,12995,94.62,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.429,SYSTEM
2453,"01-2026",MD,"3",89776,7000,93969,7115,94557,7115,93,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.416,SYSTEM
2452,"01-2026",LA,"3",111727,8026,113825,8037,113918,8037,93.4,1,2026-02-03 02:10:02.000,SYSTEM,2026-02-05 02:50:55.403,SYSTEM
