CNT_STATE,ORG_NM,TOT_FILE_CNT,SCS_CNT,FAIL_CNT,REJ_CNT,SKIP_CNT,SCS_PCT_FILE
AR,1st Choice Healthcare,6,3,0,0,0,50.0
AR,"1st Choice Healthcare, Inc",4,1,0,0,0,25.0
AR,ARKANSAS HEALTH GROUP,4,0,0,0,0,0.0
AR,ARKANSAS VEIN CARE CLINICS LLC,3,0,0,0,0,0.0
AR,Access Group,4,3,0,0,0,75.0
AR,Access Medical Clinic,1,1,0,0,0,100.0
AR,Access Medical Clinic Arkansas,3,0,0,0,0,0.0
AR,Access Medical Clinic Arkansas Ltc,2,1,0,0,0,50.0
AR,Adv Phys Therapy Center O,2,1,0,0,0,50.0
AR,Advantages of Southeast Arkansas,2,1,0,0,0,50.0
AR,American Oncology Partners,3,1,0,0,0,33.33
AR,Arcare,9,5,0,0,0,55.56
AR,Arcare 105,2,1,0,0,0,50.0
AR,Arcare 111,2,1,0,0,0,50.0
AR,Arcare 22,2,1,0,0,0,50.0
AR,Arcare 42,1,1,0,0,0,100.0
AR,Arcare 89,4,0,0,0,0,0.0
AR,Arisa Health,39,17,0,0,0,43.59
AR,Ark-La-Tex Pho,5,5,0,0,0,100.0
AR,Arkansas Baptist Childrens Homes and Family Ministries,9,3,0,0,0,33.33
AR,Arkansas Childrens Professional Services Organization,5,2,0,0,0,40.0
AR,Arkansas Childrens Professional Services Organization LLC,6,2,0,0,0,33.33
AR,Arkansas Counseling & Psychodiagnostics,4,1,0,0,0,25.0
AR,Arkansas Relationship Counseling Center,3,2,0,0,0,66.67
AR,Arkansas Urology,1,0,0,0,0,0.0
AR,Ascent Therapy,1,1,0,0,0,100.0
AR,BIRCH TREE COMMUNITIES INC,14,7,0,0,0,50.0
AR,"BP Anesthesia, PLLC",1,0,0,0,0,0.0
AR,Baxter County Regional Hospital,1,0,0,0,0,0.0
AR,Baxter Health Clinics,6,2,0,0,0,33.33
AR,Baxter Regional Behavioral Health,4,1,0,0,0,25.0
AR,Birch Tree Communities,4,2,0,0,0,50.0
AR,Birch Tree Communities Clarksville Mills,1,0,0,0,0,0.0
AR,Boston Mountain Rural Health Ctr,4,0,0,0,0,0.0
AR,Briann Li Mandri Aprn PLLC,6,2,3,0,3,33.33
AR,Brmc Transitional Care,1,0,0,0,0,0.0
AR,"CET OF ARKANSAS, LLC",4,2,2,0,2,50.0
AR,CHS Northwest Sparks Quality Alliance,2,1,0,0,0,50.0
AR,Care Counseling Services,1,1,0,0,0,100.0
AR,"Care Counseling Services, LLC",1,0,0,0,0,0.0
AR,Centers For Youth & Families,10,6,0,0,0,60.0
AR,"Centers for Youth and Families, Inc.",3,2,0,0,0,66.67
AR,Central Arkansas Radiation Therapy Institute,1,1,0,0,0,100.0
AR,Cet of Arkansas,8,0,3,0,3,0.0
AR,Charles Retina Institute Pc,1,1,0,0,0,100.0
AR,Chenal Family Therapy Plc,12,7,0,0,0,58.33
AR,"Chenal Family Therapy, PLC",5,3,0,0,0,60.0
AR,Childrens University Medical Group,8,2,0,0,0,25.0
AR,Christus Trinity Clinic,1,1,0,0,0,100.0
AR,"Clarksville Medical Group, PA",1,1,0,0,0,100.0
AR,Columbia Medical Group-The Frist Clinic,1,0,0,0,0,0.0
AR,Compass Academy,3,3,0,0,0,100.0
AR,Conway County Community Service,5,0,0,0,0,0.0
AR,Conway Regional PHO,3,0,0,0,0,0.0
AR,Conway Regional Physician Hospital Organization,16,6,3,0,3,37.5
AR,Cornerstone Counseling Clinic,6,3,0,0,0,50.0
AR,Counseling Associates Inc,2,1,0,0,0,50.0
AR,Counseling Clinic,8,1,1,0,0,12.5
AR,Counseling Clinic Inc,6,2,0,0,0,33.33
AR,Cross River Therapy Ar,4,0,0,0,0,0.0
AR,Delta Behavioral Health LLC,1,0,0,0,0,0.0
AR,Delta Counseling Assoc,1,0,0,0,0,0.0
AR,Delta Counseling Assoc Youth,4,0,0,0,0,0.0
AR,"Delta Counseling Associates, Inc.",1,1,0,0,0,100.0
AR,Dermott School,2,0,0,0,0,0.0
AR,Divine Mercy Health Center,2,0,0,0,0,0.0
AR,Dream Team Anesthesia,1,1,0,0,0,100.0
AR,Drew Central School,3,1,0,0,0,33.33
AR,EAR NOSE & THROAT CENTER OF THE OZARKS,3,1,0,0,0,33.33
AR,ENABLE BIOSCIENCES INC,2,1,0,0,0,50.0
AR,"Ear, Nose & Throat Ctr of The Ozarks",3,2,0,0,0,66.67
AR,East Texas Border Health Clinic,1,1,0,0,0,100.0
AR,Eudora Medical Clinic,2,1,0,0,0,50.0
AR,Experience Counseling Clinic,2,0,0,0,0,0.0
AR,Families of Arkansas,66,46,0,0,0,69.7
AR,Family Healthcare Associates of Southeast Arkansas,3,2,0,0,0,66.67
AR,Freshley Renewed Transitional,2,1,0,0,0,50.0
AR,Friendship Community Care,6,2,0,0,0,33.33
AR,Fusion Therapy Center,4,3,0,0,0,75.0
AR,Gainful Pragmatic Solutions,4,2,0,0,0,50.0
AR,Genesis Prime Care,1,0,1,0,1,0.0
AR,Grow Learning Centre,1,1,0,0,0,100.0
AR,Guided Growth Thearpy PLLC,1,1,0,0,0,100.0
AR,"Hailee Elizabeth Rutherford Fnp-C, PLLC",2,0,0,0,0,0.0
AR,Hands On Learning,1,1,0,0,0,100.0
AR,Harbor House,1,1,0,0,0,100.0
AR,Harrison Lonnie E,3,1,0,0,0,33.33
AR,"Healthstar Physicians of Hot Springs, PLLC",5,2,0,0,0,40.0
AR,Highlands Oncology Group PA,1,1,0,0,0,100.0
AR,Hopebridge,1,0,0,0,0,0.0
AR,"Ideal Option, PLLC",2,0,0,0,0,0.0
AR,Impact Counseling Clinic,4,0,0,0,0,0.0
AR,Improved Dynamics Ab A of Ky,2,0,0,0,0,0.0
AR,"JK Williamson Consulting, LLC",2,0,0,0,0,0.0
AR,Jefferson Regional Medical Center,4,4,0,0,0,100.0
AR,"Jk Williamson Consulting, PLLC",1,1,0,0,0,100.0
AR,"KIDS FOR THE FUTURE OF HELENA, INC",1,1,0,0,0,100.0
AR,"KIDS FOR THE FUTURE OF MARIANNA, INC.",1,1,0,0,0,100.0
AR,"KIDS FOR THE FUTURE OF MARION, Inc.",2,2,0,0,0,100.0
AR,"KIDS FOR THE FUTURE OF PARKIN, Inc.",1,1,0,0,0,100.0
AR,Kids For The Future of Forrest City Inc,2,2,0,0,0,100.0
AR,Kids Unlimited Learning Academy,2,0,0,0,0,0.0
AR,"Kids for the Future Therapy Group, Inc.",1,1,0,0,0,100.0
AR,Lakeside School,2,1,0,0,0,50.0
AR,Lighthouse Aba And Behavioral Consulting,2,1,0,0,0,50.0
AR,Living Well Professional Counseling,1,0,0,0,0,0.0
AR,Lonoke Physical Therapy,1,1,0,0,0,100.0
AR,Mainline Dermott Medical Clinic,2,1,0,0,0,50.0
