CNT_STATE,ORG_NM,RUN_NO,TOT_FILE_CNT,SCS_CNT,SCS_PCT_FILE
AR,1st Choice Healthcare,1,4,1,25.0
AR,1st Choice Healthcare,2,2,2,100.0
AR,"1st Choice Healthcare, Inc",1,3,1,33.33
AR,"1st Choice Healthcare, Inc",2,1,0,0.0
AR,ARKANSAS HEALTH GROUP,1,2,0,0.0
AR,ARKANSAS HEALTH GROUP,2,2,0,0.0
AR,ARKANSAS VEIN CARE CLINICS LLC,1,1,0,0.0
AR,ARKANSAS VEIN CARE CLINICS LLC,2,1,0,0.0
AR,ARKANSAS VEIN CARE CLINICS LLC,3,1,0,0.0
AR,Access Group,1,4,3,75.0
AR,Access Medical Clinic,1,1,1,100.0
AR,Access Medical Clinic Arkansas,1,2,0,0.0
AR,Access Medical Clinic Arkansas,2,1,0,0.0
AR,Access Medical Clinic Arkansas Ltc,1,1,0,0.0
AR,Access Medical Clinic Arkansas Ltc,2,1,1,100.0
AR,Adv Phys Therapy Center O,1,1,0,0.0
AR,Adv Phys Therapy Center O,2,1,1,100.0
AR,Advantages of Southeast Arkansas,1,1,0,0.0
AR,Advantages of Southeast Arkansas,2,1,1,100.0
AR,American Oncology Partners,1,2,0,0.0
AR,American Oncology Partners,2,1,1,100.0
AR,Arcare,1,6,4,66.67
AR,Arcare,2,2,1,50.0
AR,Arcare,3,1,0,0.0
AR,Arcare 105,1,1,0,0.0
AR,Arcare 105,2,1,1,100.0
AR,Arcare 111,1,1,0,0.0
AR,Arcare 111,2,1,1,100.0
AR,Arcare 22,1,1,0,0.0
AR,Arcare 22,2,1,1,100.0
AR,Arcare 42,1,1,1,100.0
AR,Arcare 89,1,1,0,0.0
AR,Arcare 89,2,1,0,0.0
AR,Arcare 89,3,1,0,0.0
AR,Arcare 89,4,1,0,0.0
AR,Arisa Health,1,28,13,46.43
AR,Arisa Health,2,7,4,57.14
AR,Arisa Health,3,2,0,0.0
AR,Arisa Health,4,1,0,0.0
AR,Arisa Health,5,1,0,0.0
AR,Ark-La-Tex Pho,1,5,5,100.0
AR,Arkansas Baptist Childrens Homes and Family Ministries,1,6,2,33.33
AR,Arkansas Baptist Childrens Homes and Family Ministries,2,3,1,33.33
AR,Arkansas Childrens Professional Services Organization,1,2,2,100.0
AR,Arkansas Childrens Professional Services Organization,2,1,0,0.0
AR,Arkansas Childrens Professional Services Organization,3,1,0,0.0
AR,Arkansas Childrens Professional Services Organization,4,1,0,0.0
AR,Arkansas Childrens Professional Services Organization LLC,1,3,1,33.33
AR,Arkansas Childrens Professional Services Organization LLC,2,2,1,50.0
AR,Arkansas Childrens Professional Services Organization LLC,3,1,0,0.0
AR,Arkansas Counseling & Psychodiagnostics,1,2,0,0.0
AR,Arkansas Counseling & Psychodiagnostics,2,2,1,50.0
AR,Arkansas Relationship Counseling Center,1,3,2,66.67
AR,Arkansas Urology,1,1,0,0.0
AR,Ascent Therapy,1,1,1,100.0
AR,BIRCH TREE COMMUNITIES INC,1,11,6,54.55
AR,BIRCH TREE COMMUNITIES INC,2,3,1,33.33
AR,"BP Anesthesia, PLLC",1,1,0,0.0
AR,Baxter County Regional Hospital,1,1,0,0.0
AR,Baxter Health Clinics,1,3,2,66.67
AR,Baxter Health Clinics,2,1,0,0.0
AR,Baxter Health Clinics,3,1,0,0.0
AR,Baxter Health Clinics,4,1,0,0.0
AR,Baxter Regional Behavioral Health,1,3,1,33.33
AR,Baxter Regional Behavioral Health,2,1,0,0.0
AR,Birch Tree Communities,1,4,2,50.0
AR,Birch Tree Communities Clarksville Mills,1,1,0,0.0
AR,Boston Mountain Rural Health Ctr,1,2,0,0.0
AR,Boston Mountain Rural Health Ctr,2,2,0,0.0
AR,Briann Li Mandri Aprn PLLC,1,2,0,0.0
AR,Briann Li Mandri Aprn PLLC,2,2,1,50.0
AR,Briann Li Mandri Aprn PLLC,3,1,0,0.0
AR,Briann Li Mandri Aprn PLLC,4,1,1,100.0
AR,Brmc Transitional Care,1,1,0,0.0
AR,"CET OF ARKANSAS, LLC",1,2,1,50.0
AR,"CET OF ARKANSAS, LLC",2,1,0,0.0
AR,"CET OF ARKANSAS, LLC",3,1,1,100.0
AR,CHS Northwest Sparks Quality Alliance,1,2,1,50.0
AR,Care Counseling Services,1,1,1,100.0
AR,"Care Counseling Services, LLC",1,1,0,0.0
AR,Centers For Youth & Families,1,6,3,50.0
AR,Centers For Youth & Families,2,3,2,66.67
AR,Centers For Youth & Families,3,1,1,100.0
AR,"Centers for Youth and Families, Inc.",1,2,1,50.0
AR,"Centers for Youth and Families, Inc.",2,1,1,100.0
AR,Central Arkansas Radiation Therapy Institute,1,1,1,100.0
AR,Cet of Arkansas,1,1,0,0.0
AR,Cet of Arkansas,2,1,0,0.0
AR,Cet of Arkansas,3,1,0,0.0
AR,Cet of Arkansas,4,1,0,0.0
AR,Cet of Arkansas,5,1,0,0.0
AR,Cet of Arkansas,6,1,0,0.0
AR,Cet of Arkansas,7,1,0,0.0
AR,Cet of Arkansas,8,1,0,0.0
AR,Charles Retina Institute Pc,1,1,1,100.0
AR,Chenal Family Therapy Plc,1,9,4,44.44
AR,Chenal Family Therapy Plc,2,3,3,100.0
AR,"Chenal Family Therapy, PLC",1,5,3,60.0
AR,Childrens University Medical Group,1,5,1,20.0
AR,Childrens University Medical Group,2,3,1,33.33
AR,Christus Trinity Clinic,1,1,1,100.0
AR,"Clarksville Medical Group, PA",1,1,1,100.0
AR,Columbia Medical Group-The Frist Clinic,1,1,0,0.0
AR,Compass Academy,1,3,3,100.0
AR,Conway County Community Service,1,5,0,0.0
AR,Conway Regional PHO,1,2,0,0.0
AR,Conway Regional PHO,2,1,0,0.0
AR,Conway Regional Physician Hospital Organization,1,9,4,44.44
AR,Conway Regional Physician Hospital Organization,2,3,1,33.33
AR,Conway Regional Physician Hospital Organization,3,2,0,0.0
AR,Conway Regional Physician Hospital Organization,4,1,0,0.0
AR,Conway Regional Physician Hospital Organization,5,1,1,100.0
AR,Cornerstone Counseling Clinic,1,3,0,0.0
AR,Cornerstone Counseling Clinic,2,3,3,100.0
AR,Counseling Associates Inc,1,2,1,50.0
AR,Counseling Clinic,1,4,1,25.0
AR,Counseling Clinic,2,3,0,0.0
AR,Counseling Clinic,3,1,0,0.0
AR,Counseling Clinic Inc,1,4,2,50.0
AR,Counseling Clinic Inc,2,1,0,0.0
AR,Counseling Clinic Inc,3,1,0,0.0
