ID,ORG_NM,CNT_STATE,LATEST_STAGE_NM,PRE_PROCESSING_HEALTH,DART_GEN_HEALTH,DART_REVIEW_HEALTH,SPS_LOAD_HEALTH
155846755,Life Long Care of New London PLLC,NH,STOPPED,Yellow,Green,Red,Green
155841764,Moonstone Springs Counseling PLLC,CO,STOPPED,Red,Green,Green,Green
155789230,San Diego Physicians MG,CA,STOPPED,Green,Green,Red,Green
155776723,Reedley Physical Therapy,CA,STOPPED,Green,Green,Red,Green
155774498,Cedars-Sinai Medical Care Foundation,CA,STOPPED,Red,Green,Red,Green
155774497,San Diego Physicians MG,CA,STOPPED,Green,Green,Red,Green
155761986,Dignity Health Medical Network - Ventura,CA,STOPPED,Yellow,Green,Red,Green
155739788,Centrality Behavior Support Training,IN,STOPPED,Green,Green,Green,Green
155735247,"Burrell, Inc.",MO,STOPPED,Red,Green,Red,Green
155732993,Kootenai Health,WA,STOPPED,Red,Green,Red,Green
155726243,Total Care Aba In,IN,STOPPED,Yellow,Green,Red,Green
155723995,Hanan Fahmy,TX,STOPPED,Green,Green,Red,Green
155721766,Authentic Psychiatry & Wellness,IN,STOPPED,Yellow,Green,Green,Green
155719205,Trustees of Columbia University in the City of New York,NY,STOPPED,Green,Green,Red,Green
155719203,Trustees of Columbia University in the City of New York,NY,STOPPED,Green,Green,Red,Green
155719200,Trustees of Columbia University in the City of New York,NY,STOPPED,Red,Green,Red,Green
155714751,Washington University Clinical Associates,MO,STOPPED,Green,Green,Red,Green
155710876,"Mercy Health Services, Inc",TN,STOPPED,Red,Green,Red,Green
155708431,PROSPECT MEDICAL GROUP,CA,STOPPED,Yellow,Green,Red,Green
155704031,GOSHEN HEALTH SYSTEMS INC,IN,STOPPED,Green,Green,Red,Green
155701510,"BHS Physicians Network, Inc.",TX,STOPPED,Red,Green,Red,Green
155701518,"Athletico, Ltd",IN,STOPPED,Red,Red,Red,Green
155697112,Kitsap Mental Health Services,WA,STOPPED,Red,Green,Red,Green
155693413,Chatam Orthopedic Associates Pc,GA,STOPPED,Red,Green,Red,Green
155693422,"Medical Associates of Englewood, PC",NJ,STOPPED,Yellow,Green,Green,Green
155693415,"Medical Associates of Englewood, PC",NJ,STOPPED,Yellow,Green,Red,Green
155693412,Mental Health Center of Denver,CO,STOPPED,Red,Red,Red,Green
155688066,"InCare Tufts, PLLC",NH,STOPPED,Yellow,Green,Red,Green
155685956,Parkway Anesthesia Assoc,NJ,STOPPED,Yellow,Green,Red,Green
155683598,PROSPECT MEDICAL GROUP,CA,STOPPED,Red,Green,Red,Green
155683588,Venice Family Clinic,CA,STOPPED,Green,Green,Red,Green
155683594,Parkview Health System,IN,STOPPED,Yellow,Green,Red,Green
155679374,SELECT PHYSICAL THERAPY HOLDINGS INC,CO,STOPPED,Red,Green,Green,Green
155677269,Sante Physicians IPA Medical Corp.,CA,STOPPED,Red,Green,Red,Green
155677268,Indiana University Health Southern Indiana Physicians Inc,IN,STOPPED,Red,Green,Green,Green
155677267,PORTERCARE ADVENTIST HEALTH SYSTEM,CO,STOPPED,Red,Green,Red,Green
155675155,PAI OH LLC,OH,STOPPED,Red,Green,Red,Green
155675152,"KANSAS UNIVERSITY PHYSICIANS, INC",MO,STOPPED,Red,Red,Red,Green
155670969,Sunstars Aba In,IN,STOPPED,Yellow,Green,Red,Green
155670968,Cardiothoracic Surgeons Inc,IN,STOPPED,Yellow,Green,Green,Green
155666811,Independent Physicians of Wisconsin,WI,STOPPED,Green,Green,Red,Green
155666810,Waverly Health Center,IA,STOPPED,Green,Green,Green,Green
155666802,Community Physicians of Indiana,IN,STOPPED,Red,Green,Yellow,Green
155666798,"METHODIST INPATIENT PHYSICIANS, LLC",TN,STOPPED,Yellow,Green,Yellow,Green
155666797,Mary Washington Healthcare Physicians,VA,STOPPED,Yellow,Green,Green,Green
155665257,Community Physicians of Indiana,IN,STOPPED,Yellow,Green,Red,Green
155665247,Lewis County Community Health Services,WA,STOPPED,Yellow,Green,Red,Green
155663200,Deer Oaks Illinoi S,CO,STOPPED,Green,Green,Red,Green
155663208,National Doula Network,ME,STOPPED,Yellow,Yellow,Red,Green
155663211,Ipany,NY,STOPPED,Red,Green,Red,Green
155663197,"ATLANTIC RADIOLOGY ASSOCIATES, LLC",GA,STOPPED,Yellow,Green,Yellow,Green
155663181,Ipany,NY,STOPPED,Red,Green,Red,Green
155663199,True North Health Navigation,CO,STOPPED,Red,Green,Red,Green
155661170,Bay Area Community Health (Fqhc),CA,STOPPED,Yellow,Red,Red,Green
155661187,Ipany,NY,STOPPED,Yellow,Green,Red,Green
155661188,7_NSLIJ_NorthwellAnesthesiaPC_ 20251223090101223,NY,STOPPED,Red,Yellow,Red,Green
155661189,Mindful Therapy Group,WA,STOPPED,Green,Green,Yellow,Green
155661160,Shopko 4300,WI,STOPPED,Green,Green,Red,Green
155661166,Arcare 105,AR,STOPPED,Green,Red,Red,Green
155661168,NEBRASKA PEDIATRIC PRACTICE IN,IA,STOPPED,Red,Green,Red,Green
155661171,7_NSLIJ_Northwell UrgentCare_ 2025122310181223,NY,STOPPED,Red,Yellow,Red,Green
155661174,"Primary Health Care, Inc.",IA,STOPPED,Yellow,Green,Green,Green
155661175,Virginia Eye Consultants,VA,STOPPED,Green,Green,Red,Green
155661176,Change Incorporated,WV,STOPPED,Yellow,Red,Red,Green
155658657,Jackson Physical Therapy,NV,STOPPED,Green,Green,Red,Green
155658655,Indiana University Health Southern Indiana Physicians Inc,IN,STOPPED,Yellow,Green,Green,Green
155652063,MERCY CLINIC EAST COMMUNITIES,MO,STOPPED,Green,Green,Yellow,Green
155652065,Circle Medical Care Group,ME,STOPPED,Green,Green,Red,Green
155648802,East Jefferson Physicians Group,LA,STOPPED,Green,Green,Red,Green
155646924,Alliance Radiology,KS,STOPPED,Green,Yellow,Red,Green
155646926,Kentucky River Community Care,KY,STOPPED,Yellow,Green,Red,Green
155639954,"Cloud Health Medical Group, P.A.",NY,STOPPED,Yellow,Green,Red,Green
155639961,"LEGACY HEALTHCARE SERVICES, Inc.",CO,STOPPED,Green,Green,Red,Green
155638116,U M Otorhinolaryngology-Head & Neck Surgery,MD,STOPPED,Green,Green,Red,Green
155631474,Hartford Hospital,CT,STOPPED,Green,Green,Green,Green
155631473,Sante Physicians IPA Medical Corp.,CA,STOPPED,Red,Green,Red,Green
155631486,Virginia Hospital Center Physician Group LLC,VA,STOPPED,Green,Green,Yellow,Green
155629694,Orange City Area Health System,IA,STOPPED,Green,Green,Green,Green
155629677,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
155627937,HERITAGE PROVIDER NETWORK INC,CA,STOPPED,Yellow,Green,Red,Green
155627935,7_NSLIJ_Northwell_JPHP 2025103110710310,NY,STOPPED,Yellow,Green,Red,Green
155627928,"Bierman Behavioral Health Services, LLC",OH,STOPPED,Red,Green,Red,Green
155626414,Privia Medical Group Gulf Cost PLLC,TX,STOPPED,Yellow,Green,Green,Green
